species_name,root_disease,foliar_disease,symptoms,references,,,
Phytophthora pini,1,0,"Root rot, canker",Necrotic lesions on Scot's pine seedlings in pathogenicity tests (Tkaczyk et al. 2016) ,pathogenicity tests: root rot and bark necroses in Populus × euramericana,,
Phytophthora pinifolia,0,1,"needle infections, exudation of resin at the bases of the needle bundles and, in younger trees, necrotic lesions in the cambium Hansen, E.M. 2012. Phytophthora pinifolia. Forest Phytophthoras 2(1). doi: 10.5399/osu/fp.2.1.3056 ",,,,
Phytophthora pisi,1,0,Root Rot of Pea and Faba Bean (Heyman et al. 2013),,,,
Phytophthora pistaciae,1,0,"pistachio gummosis (MIRSOLEIMANI and MOSTOWFIZADEH-GHALAMFARSA, 2017)","exudation of gum from the
crown. The tissues under the bark of the crowns, lower
trunks of affected trees, and roots turn brown or dark brown
and rot, often resulting in death of the tree (Mirabolfathy et al. 2001 Mycol. Res. 105 (10) : 1166–1175)",,,
Phytophthora plurivora,1,1,"Recovered from roots, rhizosphere soil, basal and stem cankers and shoots of some hosts",fine root pathogen,,,
Phytophthora pluvialis,0,1,"foliage disease of Pinus radiata, no recoveries of Phytophthora pluvialis having been made from the roots, stems or branches ","discrete olive coloured lesions, often with a narrow dark resinous mark or band, were first recognised in winter of 2008 in plantation forests on the eastern coast of the North Island. These lesions develop further to result in rapid needle senescence and premature defoliation. ",Dick etal. 2014,,
Phytophthora polonica,1,0,"slightly pathogenic to alder twigs, tissue discolouration progressing only a few millimetres beyond the inoculation wound after 10 days, present in rhizosphere soil of trees with yellowing of leaves and crown transparency",recovered from soil around declining alder trees but in laboratory tests was slightly pathogenic to alder twigs and not pathogenic to trunks of several tree species,,,
Phytophthora porri,1,1,Leaf blight; shanking; white tip disease; leaf dieback; crown collar and root rot.,,PhytophthoraDB,,
Phytophthora primulae,1,0,Brown core root rot,,PhytophthoraDB,,
Phytophthora pseudocryptogea,1,0,Root rot,,"Minnis, A.M., Farr, D.F., Rossman, A.Y. Fungal Nomenclature Database, U.S. National Fungus Collections, ARS, USDA.",,
Phytophthora pseudolactucae,0,1,Isolated from stem,infects the pith of the lettuce in aboveground parts,Feng et al. 2019,,
Phytophthora pseudopolonica,0,1,"All leaves of Castanopsis fargesii, Castanopsis sclerophylla
and Cyclobalanopsis glauca inoculated with isolates of
P. pseudopolonica produced black spots in 3 days",,,,
Phytophthora pseudorosacearum,NA,NA,no pathogenicity tests,,,,
Phytophthora pseudosyringae,1,1,"root and collar rot of Fagus sylvatica, Alnus glutinosa and Carpinus betulus", foliar blight of Vaccinium myrtillus,Phytophthora DB,Scanu et al. 2012,"Beales et al., 2009"
Phytophthora pseudotsugae,1,0,root rot of Douglas-fir,,,,
Phytophthora psychrophila,1,0,produce necrotic bark lesions on suberized tap roots of some Q. robur seedlings.,,PhytophthoraDB,Jung et al. 2002,
Phytophthora quercetorum,1,0,"Implicated in oak decline, associated with Quercus macrocarpa, Q. rubra, Q. phellos. Pathogenic towards stem of seedlings and fine roots of various oak seedlings in artificial pathogenicity tests.",,,,
Phytophthora quercina,1,0,"Implicated in oak decline, root and rhizosphere soil",root rot of European oaks,Jung et al. 1999,,
Phytophthora quininea,1,0,root and collar rot of Cinchona,,,,
Phytophthora ramorum,1,1,"lethal bole (trunk) cankers resulting in the disease called sudden oak death (SOD). On other native plant species as well as many horticultural nursery crops, P. ramorum causes a foliar blight and shoot dieback. The disease on these hosts is referred to as ramorum leaf blight or ramorum shoot blight.","Parke, J. L., and S. Lucas. 2008. ",,,
Phytophthora rhizophorae,NA,NA,substrate: leaves and seeds,no pathogenicity tests,,,
Phytophthora richardiae,1,0,root rot,USDA fungal database,,,
Phytophthora riparia,0,0,"Isolated from stream water, riparian soil, non-pathogenic on range of crops",,Stamler et al. 2016,,
Phytophthora rosacearum,1,0,"Root and collar rot. An important pathogen of rosaceous fruit trees, including apple and cherry in California, apple in New York, apricot in Maryland and peach in Ohio (Hansen et al 2009).",,,,
Phytophthora rubi,1,0,root rot on raspberry,,Weiland et al. 2018 Pl. Dis. 102(5): 938-947,,
Phytophthora sansomeana,1,0,Root rot,,"Tang, Q.H., Gao, F., Li, G.Y., Wang, H. , Zheng, X.B., and Wang, Y.C. 2010. First report of root rot caused by Phytophthora sansomeana on soybean in China. Pl. Dis. 94: 378.",,
Phytophthora siskiyouensis,1,0,stem lesions and cankers on Alnus incana,Collar rot on italian alder,"Perez-Sierra, A., Kalantarzadeh, M., Sancisi-Frey, S., and Brasier, C.M. 2015. Phytophthora siskiyouensis causing stem lesions and cankers on Alnus incana. New Disease Reports 31: 17.",,
Phytophthora sojae,1,0,"Root and stem rot of soybeans; seedling wilt, seedling blight of lupines",,,,
Phytophthora stricta,0,1,necrotic lesions at the tips of some mature leaves that had been in contact with the stream water,"recovered from irrigation water of an ornamental plant nursery in Mississippi, USA",Widmer et al. 2018,,
Phytophthora syringae,1,1,Collar and Fruit Rot of Malus pumila (Apple),water-soaked lesions on leaves of Syringa vulgaris,gumming cankers in pruning wounds,"Farr, D.F., & Rossman, A.Y. Fungal Databases, U.S. National Fungus Collections, ARS, USDA. Retrieved January 29, 2019, from https://nt.ars-grin.gov/fungaldatabases/",
Phytophthora tentaculata,1,0,decayed roots and lesions at the base of the stems,,Beal et al. 2018,,
Phytophthora terminalis,1,0, Root and stem base rot.,,Man in't Veld et al. 2015 Mycologia 107(1): 54-65,,
Phytophthora thermophila,0,0,"water associated with dying plants, recovered from declining and adjacent decline?free sites",soil (Jung et al. 2011),"Aghighi, S. , Burgess, T. I., Scott, J. K., Calver, M. and Hardy, G. E. (2016), Isolation and pathogenicity of Phytophthora species from declining Rubus anglocandicans. Plant Pathol, 65: 451-461",,
Phytophthora trifolii,1,0,Severe stand-depleting root rot. Infection can extend up to the crown.,,"Farr, D.F., & Rossman, A.Y. Fungal Databases, U.S. National Fungus Collections, ARS, USDA",,
Phytophthora tropicalis,1,1,causal agent of crown and root rot on Albizia julibrissin.,"wilt, dieback, and death of shoots",Leaf and Fruit Blight of Breadfruit,,
Phytophthora tubulina,1,0,Pathogenic to roots in pathogenicity tests.,,Jung et al. 2017 IMA Fungus 8(2): 219-244,,
Phytophthora tyrrhenica,1,0,Pathogenic to roots in pathogenicity tests.,,Jung et al. 2017 IMA Fungus 8(2): 219-245,,
Phytophthora uliginosa,1,0,Aggressive root rot and dieback of oaks. Associated with oak decline.,,,,
Phytophthora uniformis,1,0," Root and collar rot of riparian, nursery and shelterbelt alders",stem cankers ,,,
Phytophthora versiformis,0,0,Pathogenicity doubtful,,,,
Phytophthora vignae,1,1,"Stem rot, leaf spot, may completely destroy root system",,,,
Phytophthora virginiana,0,0,Isolated from irrigation water,host unknown,,,
Phytophthora vulcanica,1,0,Pathogenic to roots in pathogenicity tests,,,,
Phytophthora x alni,1,0,"Aggressive root and collar rot of riparian, nursery and shelterbelt alders",,,,
Phytophthora x andina,0,1,Blight,,,,
Phytophthora x heterohybrida,1,0,"pathogenicity tests on C. sativa, F. sylvatica, Q. suber: Phytophthora xheterohybrida caused mortality (Fig. 13b), collar rot (Fig. 13f) and necrotic root lesions or dieback of taproots (Fig. 13h) in 6.7 %, 20.0 % and 80 % of plants, respectively, and on average 63.3 % root rot and 48.3 % reduction of fine root weight  ",,,,
Phytophthora x incrassata,1,0,Isolated from river water,"pathogenicity tests on C. sativa F. sylvatica and Q. suber: Phytophthora xincrassata caused mortality (Fig. 13c), partly girdling collar rot infections (Fig. 13e) and necrotic root lesions or dieback of taproots ",,,
Phytophthora x multiformis,1,0,necrotic lesions in the inner bark," roots, collar",,,
Phytophthora x pelgrandis,1,0,"Root Rot and Lower Stem Necrosis of Common Box, Lavender and Port-Orford-Cedar in Hungary",,,,
Phytophthora x serendipita,1,0,bark necrosis and 100% root rot causing the decline of 11 poplar plants in soil infestation trials,,"Milenkovic et al. 2018 Forests 9, 330",,
Phytophthora x stagnum,NA,NA,recovered from irrigation reservoirs at several ornamental plant production facilities,no pathogenicity tests,,,
